iter	Passed	Remaining
0	66	66847
1	76	38157
2	83	27762
3	91	22688
4	97	19395
5	103	17209
6	110	15657
7	119	14874
8	127	14003
9	133	13185
10	139	12543
11	147	12169
12	154	11765
13	161	11400
14	168	11080
15	176	10844
16	182	10557
17	189	10360
18	198	10267
19	206	10141
20	213	9933
21	218	9720
22	225	9564
23	231	9410
24	238	9290
25	245	9179
26	251	9067
27	258	8976
28	265	8900
29	274	8875
30	283	8867
31	290	8788
32	299	8779
33	307	8732
34	314	8667
35	321	8613
36	329	8566
37	335	8495
38	342	8432
39	349	8383
40	356	8337
41	364	8312
42	370	8236
43	377	8209
44	385	8178
45	393	8155
46	400	8117
47	408	8095
48	415	8055
49	421	8016
50	429	8000
51	436	7963
52	443	7916
53	449	7881
54	456	7844
55	464	7834
56	472	7813
57	479	7788
58	488	7793
59	497	7788
60	505	7783
61	514	7783
62	522	7774
63	531	7770
64	540	7768
65	547	7741
66	554	7716
67	560	7685
68	568	7667
69	576	7654
70	582	7620
71	589	7601
72	596	7569
73	604	7560
74	615	7587
75	623	7582
76	630	7561
77	638	7549
78	646	7534
79	652	7505
80	659	7483
81	665	7448
82	673	7441
83	680	7419
84	689	7418
85	696	7399
86	703	7381
87	709	7354
88	716	7337
89	724	7327
90	732	7317
91	739	7296
92	746	7282
93	752	7254
94	760	7242
95	767	7231
96	775	7221
97	783	7208
98	788	7176
99	795	7155
100	801	7135
101	806	7104
102	814	7089
103	821	7078
104	829	7070
105	837	7059
106	844	7047
107	850	7027
108	857	7008
109	863	6989
110	870	6975
111	877	6959
112	885	6947
113	894	6953
114	902	6948
115	912	6953
116	920	6944
117	931	6964
118	940	6966
119	948	6955
120	955	6940
121	962	6928
122	970	6921
123	978	6911
124	985	6900
125	994	6896
126	1001	6884
127	1008	6867
128	1016	6861
129	1023	6850
130	1031	6840
131	1038	6829
132	1044	6809
133	1052	6803
134	1059	6791
135	1067	6781
136	1075	6774
137	1083	6770
138	1091	6761
139	1099	6755
140	1108	6755
141	1117	6754
142	1125	6747
143	1133	6738
144	1141	6729
145	1148	6718
146	1157	6714
147	1164	6704
148	1172	6697
149	1180	6687
150	1188	6679
151	1194	6663
152	1201	6648
153	1208	6636
154	1215	6625
155	1222	6616
156	1230	6605
157	1236	6590
158	1244	6583
159	1252	6577
160	1259	6564
161	1266	6552
162	1274	6546
163	1282	6535
164	1288	6521
165	1295	6508
166	1303	6500
167	1312	6500
168	1320	6494
169	1328	6484
170	1336	6477
171	1343	6468
172	1350	6457
173	1358	6447
174	1364	6432
175	1372	6424
176	1380	6419
177	1388	6413
178	1396	6404
179	1403	6394
180	1410	6382
181	1417	6370
182	1424	6357
183	1432	6351
184	1439	6340
185	1446	6330
186	1453	6319
187	1461	6311
188	1468	6301
189	1476	6295
190	1483	6285
191	1491	6278
192	1498	6266
193	1506	6259
194	1513	6247
195	1521	6239
196	1528	6231
197	1535	6219
198	1542	6208
199	1550	6202
200	1557	6192
201	1565	6184
202	1572	6175
203	1581	6169
204	1587	6157
205	1595	6148
206	1603	6141
207	1612	6139
208	1619	6127
209	1626	6116
210	1632	6104
211	1639	6093
212	1647	6085
213	1655	6081
214	1662	6068
215	1667	6054
216	1674	6042
217	1681	6032
218	1688	6021
219	1694	6008
220	1702	6002
221	1710	5995
222	1719	5990
223	1726	5982
224	1734	5973
225	1740	5962
226	1748	5955
227	1756	5947
228	1763	5939
229	1771	5931
230	1778	5921
231	1786	5913
232	1793	5903
233	1800	5895
234	1809	5889
235	1821	5897
236	1839	5921
237	1854	5938
238	1864	5937
239	1871	5926
240	1877	5913
241	1885	5905
242	1892	5896
243	1899	5886
244	1907	5879
245	1915	5870
246	1922	5859
247	1932	5858
248	1939	5850
249	1947	5841
250	1954	5833
251	1963	5827
252	1970	5818
253	1978	5811
254	1985	5802
255	1995	5798
256	2002	5789
257	2008	5777
258	2015	5766
259	2023	5758
260	2030	5749
261	2037	5738
262	2043	5727
263	2051	5718
264	2059	5711
265	2065	5700
266	2072	5691
267	2081	5684
268	2088	5674
269	2094	5662
270	2103	5658
271	2111	5652
272	2120	5646
273	2129	5641
274	2150	5669
275	2157	5659
276	2175	5677
277	2192	5694
278	2201	5688
279	2210	5683
280	2224	5691
281	2231	5682
282	2238	5671
