Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Comments,Album_type,Licensed,official_video,Album,Title,Channel,Composer,Artist
0,0.000273359,3,-25.176,0.0443,0.724150792,6.19E-05,0.000806954,0.34,83.398,117907,87910955.94,137622,19981370,3070,album,FALSE,FALSE,Sinkovsky Plays and Sings Vivaldi,"Antonio Vivaldi - Concerto No.4 in F minor, Op.8, RV 297, "" L'inverno "", Allegro Non Molto",Mozafunkula,,Marshmello
0,0.184220009,7,-7.561370454,0.09546161,0.672221376,0.91,0.034965783,0.746,148.692,173427,184825,5190,129042647.7,122,,FALSE,,,"A. Vivaldi Concerto No. 2 in G minor, RV 315, ""L'estate"" (Summer) - Presto",Anton Paisov,Finneas O'Connell,Bon Iver
0,0.335839161,6,-15.596,0.09546161,0.667627624,0.867,0.001771561,0.38,84.899,150667,184825,5190,19320810,122,,FALSE,FALSE,Vivaldi: The Four Seasons,,Anton Paisov,Finneas O'Connell,Kamasi Washington
1,0.209584584,5.231603515,-6.251,0.0277,0.003796416,0.054933714,0.001,0.52584177,150.22,265000,202457327,997035,399661898,24350,album,TRUE,,Life Thru A Lens,Robbie Williams - Angels,robbiewilliamsvevo,Louis Bell,Drake
4,0.335839161,5,-7.561370454,0.026,3.05E-06,0.000467,0.002924207,0.295,97.997,263867,316688049,1299086,129042647.7,31150,album,TRUE,TRUE,Escapology,Robbie Williams - Feel,robbiewilliamsvevo,Juicy J,Alicia Keys
6,0.442450728,7,-7.561370454,0.0326,1.76E-05,0,0.000944076,0.842,103.032,260560,249074,922,201457474,140,album,,FALSE,Sing When You're Winning,Robbie Williams - Rock DJ (Official Music Video),RobbieWilliamsLove,"Noah ""40"" Shebib",Major Lazer
0,0.225866529,10,-7.561370454,0.0323,0.291434247,1.13E-05,0.010793861,0.52584177,166.668,258027,76758188,252380,136332369,6860,album,TRUE,TRUE,I've Been Expecting You,Robbie Williams - She's The One,robbiewilliamsvevo,Finneas O'Connell,J. Cole
6,0.494913671,10,-6.63,0.0414,4.98E-05,0,0.000334255,0.879,116.043,222830.746,105107732,740856,140211873,43300,album,TRUE,TRUE,Take The Crown (Deluxe Edition),Robbie Williams - Candy,robbiewilliamsvevo,"Noah ""40"" Shebib",Flume
1,0.898632125,10,-5.022,0.09546161,4.83E-12,0.054933714,0.000622836,0.347,125.152,262000,22878351,93766,128201040,3668,album,,TRUE,Life Thru A Lens,Robbie Williams - Let Me Entertain You,robbiewilliamsvevo,Finneas O'Connell,Tame Impala
5,0.335839161,5.231603515,-7.561370454,0.0261,0.078953589,0.054933714,0.005268024,0.677,106.191,170493,44458549,276258,105775598,6509,album,TRUE,TRUE,Swing When You're Winning,"Robbie Williams, Nicole Kidman - Somethin' Stupid",robbiewilliamsvevo,Louis Bell,
1,0.354894912,1,-7.561370454,0.0301,5.11E-05,0,0.000988048,0.612,164.001,203438,2419753,648506.3618,15191393,1861,album,,,The Christmas Present (Deluxe),Robbie Williams - Can't Stop Christmas (Official Video),,Juicy J,Alicia Keys
3,0.629422793,5,-5.173,0.0589,2.78E-08,2.23E-06,0.022906304,0.759,96.231,260400,86252134,357275,53372857,9334,album,TRUE,TRUE,Sing When You're Winning,Robbie Williams - Supreme,,Louis Bell,
2,0.144703125,6,-7.31,0.0341,0.005088448,0,0.002406104,0.291,156.207,204640,26341526,83668,45956641,2923,album,FALSE,FALSE,Sing When You're Winning,Robbie Williams - Better Man,Mies10,Louis Bell,Chance the Rapper
0,0.006539203,2,-7.561370454,0.09546161,0.967361669,0.054933714,0.001030301,0.213,132.731,222830.746,88490455,1939359,427523589,3259,single,,TRUE,Je te laisserai des mots,Je te laisserai des mots,Patrick Watson - Topic,Finneas O'Connell,Kanye West
1,1.22E-05,0,-29.372,0.0364,0.921167317,0.915,0.033745417,0.226,132.813,96625,86950,955,5016602,7,single,TRUE,TRUE,,Ode to Vivian (Rework),Patrick Watson - Topic,Mike Dean,Bon Iver
2,0.003375,5.231603515,-22.415,0.0355,0.944076141,0.94,0.001860867,0.52584177,134.311,89601,86950,955,8273038,7,album,TRUE,TRUE,Better in the Shade,Ode to Vivian (Rework),Patrick Watson - Topic,Louis Bell,deadmau5
0,0.003869893,4,-16.714,0.0331,0.941192,0.0103,0.000586376,0.319,77.483,175644,2273744,648506.3618,26635618,1275,,TRUE,TRUE,,Patrick Watson - Lost With You (Official Video),,Juicy J,Rihanna
1,0.000340068,6,-16.827,0.09546161,0.973242271,0.103,0.001295029,0.232,105.202,187373,9236037,62809,29325998,2114,album,TRUE,TRUE,Close to Paradise,Patrick Watson - The Great Escape (Official Video),Secret City Records,Finneas O'Connell,Dua Lipa
0,0.036926037,3,-13.012,0.09546161,0.114840436,0.594,0.020570824,0.272,144.553,272467,87910955.94,240853,23145970,1141,single,,TRUE,Sit Down Beside Me,Sit Down Beside Me,Patrick Watson - Topic,Yeti Beats,The Chainsmokers
5,0.031255875,6,-13.781,0.0388,0.616295051,0.000261,0.001860867,0.578,125.231,194000,1870898,35807,129042647.7,576,album,TRUE,TRUE,Wave,,,Louis Bell,Bon Iver
0,0.036264691,8,-12.953,0.0648,0.843908625,0.0263,0.046268279,0.576,170.721,162286,19436,1119,9516698,55,single,FALSE,FALSE,Mélancolie,"Patrick Watson, Safia Nolin - Mélancolie",i'm cyborg but that's ok,Finneas O'Connell,Billie Eilish
1,0.013312053,6,-14.936,0.0334,0.766060875,0.807,0.001860867,0.082,117.069,217606,706018,7201,19457528,167,,,TRUE,Love Songs For Robots,Patrick Watson - Love Songs For Robots (Official Video),Domino Recording Co.,"Noah ""40"" Shebib",Dua Lipa
