Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Comments
0,0.000273359,3,-25.176,0.0443,0.724150792,6.19E-05,0.000806954,0.34,83.398,117907,,137622,19981370,3070
0,0.184220009,7,,,0.672221376,0.91,0.034965783,0.746,148.692,173427,184825,5190,,122
0,,6,-15.596,,0.667627624,0.867,0.001771561,0.38,84.899,150667,184825,5190,19320810,122
1,0.209584584,,-6.251,0.0277,0.003796416,,0.001,,150.22,265000,202457327,997035,399661898,24350
4,,5,,0.026,3.05E-06,0.000467,0.002924207,0.295,97.997,263867,316688049,1299086,,31150
6,0.442450728,7,,0.0326,1.76E-05,0,0.000944076,0.842,103.032,260560,249074,922,201457474,140
0,0.225866529,10,,0.0323,0.291434247,1.13E-05,0.010793861,,166.668,258027,76758188,252380,136332369,6860
6,0.494913671,10,-6.63,0.0414,4.98E-05,0,0.000334255,0.879,116.043,,105107732,740856,140211873,43300
1,0.898632125,10,-5.022,,4.83E-12,,0.000622836,0.347,125.152,262000,22878351,93766,128201040,3668
5,,,,0.0261,0.078953589,,0.005268024,0.677,106.191,170493,44458549,276258,105775598,6509
1,0.354894912,1,,0.0301,5.11E-05,0,0.000988048,0.612,164.001,203438,2419753,,15191393,1861
3,0.629422793,5,-5.173,0.0589,2.78E-08,2.23E-06,0.022906304,0.759,96.231,260400,86252134,357275,53372857,9334
2,0.144703125,6,-7.31,0.0341,0.005088448,0,0.002406104,0.291,156.207,204640,26341526,83668,45956641,2923
0,0.006539203,2,,,0.967361669,,0.001030301,0.213,132.731,,88490455,1939359,427523589,3259
1,1.22E-05,0,-29.372,0.0364,0.921167317,0.915,,0.226,132.813,96625,86950,955,5016602,7
2,0.003375,,-22.415,0.0355,0.944076141,0.94,0.001860867,,134.311,89601,86950,955,8273038,7
0,0.003869893,4,-16.714,0.0331,0.941192,0.0103,0.000586376,0.319,77.483,175644,2273744,,26635618,1275
1,0.000340068,6,-16.827,,0.973242271,0.103,0.001295029,0.232,105.202,187373,9236037,62809,29325998,2114
0,0.036926037,3,-13.012,,,0.594,0.020570824,0.272,144.553,272467,,240853,23145970,1141
5,0.031255875,6,-13.781,0.0388,0.616295051,0.000261,0.001860867,0.578,125.231,194000,1870898,35807,,576
0,0.036264691,8,-12.953,0.0648,0.843908625,0.0263,0.046268279,0.576,170.721,162286,19436,1119,9516698,55
1,0.013312053,6,-14.936,0.0334,0.766060875,0.807,0.001860867,0.082,117.069,217606,706018,7201,19457528,167
9,0.258474853,1,,0.101,1.37E-07,2.50E-06,0.000881974,0.569,119.988,272080,409897329,1749518,450534734,34870
5,0.437245479,6,-4.315,0.306,2.86E-06,0,,0.518,85.996,324307,295026831,2212839,227592322,32923
8,0.529475129,4,-6.759,0.251,0.086938307,0.00175,0.000230346,0.737,83.011,231240,60823771,403945,220334731,12928
9,0.241804367,,-6.711,0.303,6.45E-07,4.19E-06,,0.715,99.498,,31503357,293459,,8605
2,0.786330467,10,-3.99,0.304,,1.20E-05,0.001331,0.72,79.675,237233,2434744,63107,16694375,1919
3,,10,,0.339,5.76E-07,5.87E-05,0.458314011,0.78,136.734,158467,12105762,145123,53722491,5263
5,,,,0.37,,0.000108,0.007645373,0.442,138.335,,73500123,547052,41668859,20151
2,0.114084125,5,-13.131,0.439,0.496793088,0.00198,0.001061208,0.698,174.836,202451,518998,19870,3718088,610
5,0.223648543,4,,0.219,,,0.000354895,0.526,86.055,252360,295026831,,27414643,32923
6,0.498677257,6,-4.699,0.323,,0,0.000237177,0.56,89.767,238600,27097198,189648,,6751
8,0.133432831,10,-8.914,0.0319,,0,0.000303464,0.771,94.736,227653,18701629,,402838433,
3,0.020123648,2,,0.0501,0.669921875,,0.002197,0.354,205.846,188238,,2539804,947117209,
1,0.120553784,7,-10.407,0.0312,,0.0944,0.234885113,0.373,79.255,229827,9091676,116240,109527635,5253
8,0.322828856,10,-10.456,0.0472,,0.000982,,0.828,117.743,235693,79796,1240,82300943,16
6,0.052313624,8,-6.665,0.0399,0.246491883,0,0.001331,,,143531,2876944,,39109023,2971
5,0.485587656,9,-10.915,0.0341,0.005929741,5.30E-06,0.001124864,0.812,159.996,202000,350629,9782,22699812,674
3,0.331373888,4,-7.881,0.0379,0.00048189,0,3.86E-05,0.708,160.697,226267,613769,6355,49600732,139
4,0.065939264,4,-12.366,0.0256,0.203297472,0.00143,0.001124864,0.867,94.285,153413,,,12787820,64
6,0.037595375,7,-13.534,0.034,0.025153757,0.00845,0.000663055,0.824,122.239,222533,7508,141,24754190,1
6,0.000640504,9,-17.696,,0.539353144,0.000259,0.006967871,,90.666,,647837,11454,20386329,109
6,,,,,0.005451776,0.000622,0.001520875,0.68,123.57,,26276321,239386,449706835,
5,0.089314623,0,-13.148,0.0303,0.109215352,0.00105,0.000985075,0.523,121.989,268867,418605,1367,145647003,95
6,0.586376253,,-6.968,0.0282,,1.15E-05,0.075151448,0.919,129.881,161440,2909425,17713,247489800,698
5,0.413493625,,,0.0291,0.003581577,4.33E-06,0.763551944,0.582,,242413,48359522,218216,,4641
3,0.768575296,2,-4.316,,0.006644672,9.90E-06,0.004173281,,136.993,221720,22304997,119571,,3497
2,0.273359449,9,-5.534,,0.002146689,,0.019902511,0.408,83.405,268600,268948,4324,66214013,339
4,0.351895816,7,-11.262,0.0283,6.33E-06,0,0.082881856,,137.145,290064,746247,12264,34702661,744
4,,0,-8.233,0.0291,0.017984728,,0.893056347,,121.961,293227,49623825,134217,130092726,4859
7,0.586376253,9,-5.325,0.032,0.016974593,1.31E-05,0.033386248,0.559,120.04,295013,11323375,58787,42896611,1864
3,0.034328125,0,-11.515,0.0275,0.046656,0,0.001442897,0.151,81.638,173373,190480,,32957886,336
4,0.599077107,9,,0.0557,2.98E-08,0.0337,0.088121125,0.503,172.676,194867,29241488,497777,411824343,14826
7,0.359425431,2,-5.503,0.0352,2.44E-08,0.000275,0.000851971,,112.305,225760,618870,5975,217864540,176
2,0.529475129,,-5.754,0.0539,2.46E-05,0.000234,0.000751089,0.559,119.651,184360,4892898,44216,144532527,1547
4,0.849278123,10,-3.225,,3.31E-08,3.78E-05,0.000721734,0.487,102.238,132853,2803490,29580,68990772,
3,0.563559976,1,-5.603,0.0816,,0.00128,0.000129554,0.573,,270680,47965180,167010,83256610,7952
5,0.426957777,,-5.002,0.119,,0,0.000357911,0.424,120.057,,,,61921081,71
5,,0,-5.122,0.0434,8.29E-05,6.31E-06,0.000118371,0.828,148.018,235467,4271710,36679,49106055,667
8,,,-10.595,0.0426,0.119823157,0.147,0.001092727,0.263,128.026,,240714,2883,53498466,
6,,,-5.737,,8.41E-07,0.000177,0.000638277,0.433,111,261840,3929494,,,168
5,,5,-4.496,,0.002628072,0.00643,0.000160989,,77.677,201360,4625811,,35744541,556
1,0.001124864,6,,0.0445,0.921167317,,0.001685159,0.162,120.484,,15711126,244788,193705968,6834
0,0.030959144,5,-18.197,0.0407,0.835896888,0.676,0.000709732,0.2,75.056,247808,17645535,224423,141143374,
2,0.004096,4,-21.04,,0.958585256,0.0176,0.001442897,0.395,169.898,239508,8471245,78690,79455335,
2,,,-20.696,0.0317,0.941192,0.263,0.002000376,0.296,90.928,307698,18188095,161891,111668452,
1,,4,-19.991,0.0304,0.868250664,0.847,0.000955672,0.252,140.096,135444,1221363,17659,53987535,26
2,0.003112136,3,-19.585,0.0389,0.961504803,0.0688,0.001225043,,,284131,7317644,49505,115351781,1021
2,0.004330747,0,-18.131,0.0489,0.794022776,0.751,0.001520875,0.356,142.119,168040,1238928,11495,93762318,318
3,0.099897344,7,-9.657,0.0304,0.200201625,0,,0.446,124.97,364613,,1315,66599419,69
3,,4,-18.645,0.0339,0.979146657,0.908,0.000719323,0.369,,133267,1097364,23871,31119978,514
0,0.092345408,10,-10.422,0.0307,,0.00228,0.327082769,0.189,113.066,,240025467,1279053,374908872,59796
9,0.019902511,7,-12.238,0.091,2.46E-06,0.00138,9.80E-05,0.742,111.485,226240,63789393,519736,320875067,
7,0.967361669,9,-4.613,,1.06E-06,4.45E-05,0.086938307,0.84,126.47,352906,82384309,678837,194870867,20995
7,0.300763,2,-12.759,0.0438,0.009261,0.000426,,0.91,120.75,215173,57418794,348189,173523531,17658
0,0.804357,10,,0.125,7.08E-06,0.0022,0.001191016,0.376,195.815,280000,25115573,196994,89798826,7476
2,0.332812557,6,,0.0427,6.03E-06,5.63E-06,0.028094464,,,265320,6052700,72433,7981736,2893
7,,2,-10.457,0.0321,0.000640504,0.000388,0.008242408,0.639,135.406,178987,6214045,52412,66628334,2775
8,0.129554216,1,-8.825,0.0453,6.35E-05,0.0847,0.000302112,0.727,114.832,347667,,183216,64530419,8958
7,0.761048497,6,-2.926,0.113,4.82E-08,6.92E-05,0.007189057,0.658,128.04,186210,52877,893,443481299,55
7,0.469097433,5,-6.932,,0.022188041,0.79,0.002406104,,124.431,208600,76279956,561800,219078589,13551
6,0.371694959,6,-12.734,0.048,0.103823,0.00121,0.085184,0.972,,220733,418957377,3435429,262132318,126425
7,0.616295051,7,-7.033,0.0362,0.002197,0.000912,0.086938307,,115.118,261267,180559851,,110735153,
5,0.653972032,0,-6.427,0.106,0.000681472,0.124,0.002146689,0.804,,242240,,73583,130718006,1915
5,0.712121957,,-6.509,0.036,0.024137569,0.00816,0.010941048,0.966,126.143,351573,52877,893,81018008,55
7,0.438976,2,-6.009,0.105,4.00E-05,,0.029791,0.902,128.976,276080,283117873,1373934,76312247,44809
8,,0,-5.961,0.0367,0.010648,0,0.023393656,0.93,112.517,242187,14631119,112003,118247658,3834
8,0.663054848,10,-4.729,0.0792,1.96E-07,0.545,,0.969,123.996,,76279956,561800,13070905,13551
8,,1,-5.843,0.0293,0.023393656,,0.027818127,,131.659,225627,68250778,360042,,7502
5,0.043243551,,-16.842,0.0463,0.110592,0.0176,0.001520875,0.45,101.384,182653,47676885,335189,193343622,16382
1,0.537367797,0,-9.02,0.0737,,0.109,0.665338617,0.344,106.859,134267,8726124,58294,9999321,1658
0,0.047045881,9,-14.398,0.0499,0.241804367,0.00119,0.003652264,0.612,187.711,152867,1240905,9102,142956049,224
2,0.017779581,2,-13.868,0.0272,0.430368875,0.00105,0.002985984,0.201,73.36,212667,,442638,82658228,21293
6,0.121287375,10,-13.877,0.0422,0.103823,6.98E-05,0.003869893,0.528,101.999,247000,5249473,,36940149,168
4,6.40E-05,4,-19.994,0.0405,0.799178752,0.00178,0.001331,0.418,117.136,138600,20875687,105516,,3437
1,0.633839779,4,,0.085,0.000302112,0.00201,0.879217912,0.36,112.228,156173,12672554,59786,1948126,
6,0.093576664,2,-12.44,0.0332,0.504358336,,0.002924207,0.54,,287627,23357100,,61905067,5775
4,0.143055667,1,-14.647,0.0311,0.145531576,0.0564,,0.723,148.03,,,22232,19385881,1012
2,0.198155287,,-10.964,0.0376,0.006331625,0,0.066923416,0.908,150.566,183307,91274010,423722,762844275,11553
4,0.143877824,8,-10.266,0.0309,0.049430863,0.00254,0.001520875,0.797,86.204,205613,4302880,38657,259257572,1371
3,0.006644672,9,-18.758,0.0959,0.594823321,,0.011852352,0.334,77.464,155453,4374454,54558,130259092,202
