Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Comments,Album_type,Licensed,official_video,Album,Title,Channel,Composer,Artist
0,324,3,228,1167,6209,1147,1413,1746,1747,746,15120,9616,5462,2410,1,0,0,7924,1016,3128,10,59
0,2582,9,5848,2903,6139,7190,3927,4201,13227,3550,2224,2539,13972,122,1,0,1,10455,358,330,0,13
0,3553,8,1027,2903,6136,7089,2182,1950,1915,1872,2224,2539,5334,122,1,0,0,9677,15345,330,0,46
1,2735,7,7517,250,2816,5048,1656,2941,13455,12234,17123,15381,17296,6805,1,1,1,5078,11448,5616,3,27
4,3553,6,5848,214,1282,2056,2495,1548,4541,12154,17992,16028,13972,7274,1,1,1,2934,11452,5616,2,1
6,3946,9,5848,434,1458,0,1588,4569,5539,11939,2442,1426,15542,140,1,1,0,7919,11454,3845,6,58
0,2853,12,5848,414,5335,713,3174,2941,14572,11754,14701,11536,14176,4061,1,1,1,4235,11455,5616,0,39
6,4097,12,7026,1004,1596,0,750,4668,7792,8653,15612,14650,14283,7770,1,1,1,8460,11451,5616,6,32
1,4750,12,9127,2903,200,5048,1166,1781,9591,12031,11237,8406,13954,2729,1,1,1,5078,11453,5616,0,79
5,3553,7,5848,216,4359,5048,2780,3849,6177,3290,13161,11790,13141,3940,1,1,1,8377,11458,5616,3,96
1,3639,1,5848,319,1599,0,1649,3437,14399,6614,5307,14283,4526,1624,1,1,1,8692,11450,5845,2,1
3,4370,6,8940,1831,708,122,3639,4266,4161,11925,15063,12525,9885,4735,1,1,1,7919,11456,5845,3,96
2,2360,8,6156,527,2907,0,2383,1529,13883,6756,11643,8047,9157,2328,1,0,0,7919,11449,3029,3,19
0,713,2,5848,2903,6454,5048,1685,1156,10944,8653,15141,16880,17411,2512,0,1,1,4521,6297,3514,0,47
1,142,0,121,711,6412,7199,3897,1213,10954,469,1759,1438,2097,7,0,1,1,10455,10189,3514,5,13
2,595,7,343,654,6430,7226,2216,2941,11200,393,1759,1438,2929,7,1,1,1,1210,10189,3514,3,95
0,618,4,849,463,6429,4326,1106,1658,831,3754,5174,14283,6633,1175,1,1,1,10455,10599,5845,2,70
1,343,8,828,2903,6458,5461,1895,1243,5977,4931,8627,7127,7028,1798,1,1,1,1845,10602,4041,0,28
0,1276,3,1791,2903,4623,6715,3564,1421,12727,12679,15120,11397,6040,1058,0,1,1,7931,12301,3514,9,82
5,1203,8,1499,873,6066,1704,2216,3256,9601,5613,4801,5613,13972,569,1,1,1,9800,15345,5845,3,13
0,1269,10,1817,2055,6324,4732,4119,3236,14893,2613,1226,1503,3240,55,0,0,0,5985,10603,5313,0,11
1,894,8,1154,481,6255,6936,2216,428,7947,8134,3425,2850,5357,167,1,1,1,5290,10600,1225,6,28
9,3083,1,5848,3041,869,148,1512,3188,8454,12650,18328,16670,17526,7483,1,1,1,6529,13408,4509,8,75
5,3931,8,10009,4498,1278,0,3897,2901,2065,14613,17860,17092,15899,7387,1,1,1,4444,15345,678,4,11
8,4167,4,6860,4267,4422,3158,576,4160,1696,9506,14016,12868,15818,5463,1,1,1,10455,2160,678,4,77
9,2971,7,6924,4488,1125,299,3897,4053,4811,8653,12192,11981,13972,4548,1,1,1,9892,2163,677,8,65
2,4637,12,10375,4493,4623,720,1924,4076,1134,10075,5319,7141,4807,1664,1,0,1,2666,3776,1246,2,39
3,3553,12,5848,4578,1101,1125,4942,4362,11597,2344,9396,9783,9925,3452,1,1,1,3041,2161,677,2,77
5,3553,7,5848,4647,4623,1403,2980,2353,11810,8653,14565,13781,8623,6424,1,1,1,8661,15345,5845,6,67
2,2103,6,1737,4740,5844,3234,1714,3967,15222,6526,3099,4291,1750,600,1,1,1,6018,3217,1037,3,32
5,2840,4,5848,4098,4623,5048,786,2943,2088,11323,17860,14283,6757,7387,1,1,1,8972,2164,678,4,57
6,4109,8,9540,4546,4623,0,585,3138,2613,10191,11731,10627,13972,4023,1,1,1,3505,2162,678,6,25
8,2270,12,4396,387,4623,0,695,4323,3760,9142,10642,14283,17307,7090,1,1,1,5569,10610,3518,10,77
3,1033,2,5848,1431,6138,5048,2338,1813,16022,5031,15120,17339,18460,7090,0,1,1,3343,11408,3828,0,95
