Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Album_type,Licensed,official_video,Album,Comments,Title,Channel,Composer,Artist
0,350,3,228,1167,6970,1203,1698,1746,1747,746,19253,9616,5462,0,0,0,7928,2410,1016,3128,10,570
0,2701,7,11938,4876,6895,7265,4330,4199,13225,3550,2224,2539,18785,0,0,1,10459,122,358,330,0,243
0,5152,6,1027,4876,6892,7164,2523,1950,1915,1872,2224,2539,5334,0,0,0,9681,122,15345,330,0,8042
1,2877,10,7515,250,3397,7351,1987,4923,13453,12232,17121,15379,17294,0,1,1,5082,6805,11448,5616,3,5945
4,5152,5,11938,214,1469,2132,2840,1548,4541,12152,17990,16026,18785,0,1,1,2938,7272,11452,5616,2,5945
6,4157,7,11938,434,1750,0,1906,4567,5539,11937,2442,1426,15540,0,1,0,7923,140,11454,3845,6,5945
0,3009,10,11938,414,6030,717,3549,4923,14570,11752,14701,11536,14174,0,1,1,4239,4061,11455,5616,0,5945
6,4314,10,7024,1004,1952,0,895,4666,7791,15857,15610,14648,14281,0,1,1,8464,7768,11451,5616,6,5945
1,5086,10,9125,4876,206,7351,1401,1781,9589,12029,11237,8406,13954,0,1,1,5082,2729,11453,5616,0,5945
5,5152,10,11938,216,5007,7351,3139,3847,6177,3290,13161,11790,13141,0,1,1,8381,3940,11458,5616,3,5947
1,3826,1,11938,319,1957,0,1977,3435,14397,6614,5307,18482,4526,0,1,1,8696,1624,11450,5845,2,5945
3,4640,5,8938,1831,768,123,4025,4264,4161,11923,15063,12525,9885,0,1,1,7923,4735,11456,5845,3,5945
2,2472,6,6154,527,3489,0,2725,1529,13881,6756,11643,8047,9157,0,0,0,7923,2328,11449,3029,3,5945
0,751,2,11938,4876,7241,7351,2016,1156,10942,15857,15139,16878,17409,2,1,1,4525,2512,6297,3514,0,3354
1,153,0,121,711,7199,7274,5598,1213,10952,469,1759,1438,2097,2,1,1,10459,7,10189,3514,5,5276
2,631,10,343,654,7217,7301,2558,4923,11198,393,1759,1438,2929,0,1,1,1214,7,10189,3514,3,5276
0,654,4,849,463,7216,4403,1332,1658,831,3754,5174,18482,6633,0,1,1,10459,1175,10599,5845,2,5510
1,369,6,828,4876,7245,5537,2232,1243,5977,4931,8627,7127,7028,0,1,1,1849,1798,10602,4041,0,5510
0,1342,3,1791,4876,7269,6790,3947,1421,12725,12677,19253,11397,6040,2,1,1,7935,1058,12301,3514,9,6377
5,1269,6,1499,873,6818,1779,2558,3254,9599,5613,4801,5613,18785,0,1,1,9804,569,15345,5845,3,8042
0,1335,8,1817,2055,7103,4809,4535,3234,14891,2613,1226,1503,3240,2,0,0,5989,55,10603,5313,0,5511
1,940,6,1154,481,7023,7011,2558,428,7946,8134,3425,2850,5357,0,1,1,5294,167,10600,1225,6,5510
9,3247,1,11938,3039,961,149,1816,3186,8453,12648,18326,16668,17524,0,1,1,6533,7481,13408,4509,8,6944
5,4142,6,10007,4496,1463,0,5598,2900,2065,14611,17858,17090,15897,0,1,1,4448,7385,15345,678,4,8042
8,4400,4,6858,4265,5073,3234,680,4158,1696,9505,14016,12868,15816,0,1,1,10459,5463,2160,678,4,1127
