iter	Passed	Remaining
0	66	66410
1	74	37297
2	81	26945
3	86	21531
4	92	18447
5	98	16270
6	102	14581
7	107	13274
8	111	12300
9	116	11573
10	121	10908
11	125	10361
12	130	9910
13	133	9430
14	139	9170
15	145	8931
16	160	9284
17	165	9056
18	170	8824
19	176	8629
20	182	8485
21	187	8328
22	193	8208
23	199	8094
24	203	7949
25	209	7839
26	214	7729
27	219	7610
28	226	7580
29	234	7566
30	241	7537
31	248	7530
32	255	7475
33	261	7415
34	266	7348
35	271	7271
36	277	7223
37	283	7177
38	288	7108
39	293	7043
40	297	6964
41	302	6896
42	307	6838
43	312	6787
44	318	6760
45	324	6723
46	330	6691
47	335	6648
48	340	6604
49	345	6566
50	351	6534
51	356	6502
52	361	6464
53	366	6426
54	372	6398
55	377	6365
56	382	6329
57	387	6301
58	393	6278
59	398	6237
60	406	6254
61	412	6235
62	417	6213
63	423	6192
64	427	6155
65	432	6117
66	437	6089
67	443	6071
68	448	6046
69	453	6024
70	458	6003
71	464	5991
72	470	5970
73	475	5945
74	480	5923
75	485	5906
76	490	5882
77	497	5880
78	502	5862
79	507	5838
80	512	5812
81	517	5790
82	522	5770
83	527	5749
84	532	5730
85	538	5718
86	543	5707
87	548	5687
88	554	5672
89	559	5654
90	564	5641
91	570	5628
92	575	5611
93	580	5598
94	585	5577
95	591	5566
96	596	5552
97	602	5541
98	607	5528
99	613	5517
100	618	5504
101	623	5488
102	629	5480
103	634	5464
104	639	5449
105	644	5435
106	650	5425
107	669	5531
108	675	5519
109	681	5511
110	685	5492
111	691	5481
112	697	5473
113	701	5452
114	707	5442
115	712	5431
116	718	5424
117	724	5413
118	729	5400
119	734	5389
120	740	5378
121	747	5379
122	754	5376
123	759	5366
124	765	5359
125	771	5350
126	776	5339
127	782	5328
128	786	5312
129	792	5301
130	797	5292
131	803	5284
132	808	5272
133	814	5262
134	820	5256
135	825	5243
136	830	5232
137	836	5224
138	842	5216
139	847	5208
140	853	5197
141	858	5188
142	864	5178
143	869	5166
144	874	5156
145	878	5140
146	884	5131
147	889	5122
148	894	5111
149	901	5105
150	906	5096
151	917	5117
152	922	5107
153	928	5098
154	933	5088
155	939	5081
156	943	5068
157	949	5057
158	954	5046
159	959	5039
160	965	5032
161	971	5024
162	976	5012
163	982	5006
164	987	4999
165	993	4991
166	999	4985
167	1005	4978
168	1011	4971
169	1016	4963
170	1022	4955
171	1028	4949
172	1033	4942
173	1038	4928
174	1043	4917
175	1047	4905
176	1053	4896
177	1057	4884
178	1063	4878
179	1068	4869
180	1074	4859
181	1080	4854
182	1085	4847
183	1090	4837
184	1096	4829
185	1101	4821
186	1107	4812
187	1112	4804
188	1118	4798
189	1123	4788
190	1128	4781
191	1134	4772
192	1139	4765
193	1144	4754
194	1148	4742
195	1154	4737
196	1161	4733
197	1166	4724
198	1172	4718
199	1177	4708
200	1181	4698
201	1187	4691
202	1193	4686
203	1197	4673
204	1203	4667
205	1209	4660
206	1215	4656
207	1220	4647
208	1225	4639
209	1233	4639
210	1240	4639
211	1248	4641
212	1254	4635
213	1259	4627
214	1265	4619
215	1271	4615
216	1276	4607
217	1282	4601
218	1288	4595
219	1294	4589
220	1300	4583
221	1306	4578
222	1309	4564
223	1315	4555
224	1320	4547
225	1325	4538
226	1331	4532
227	1335	4523
228	1341	4516
229	1346	4508
230	1351	4499
231	1357	4492
232	1362	4486
233	1368	4480
234	1373	4470
235	1378	4461
236	1383	4454
237	1388	4446
238	1394	4439
239	1399	4430
240	1403	4420
241	1408	4411
242	1414	4405
243	1420	4401
244	1427	4397
245	1432	4389
246	1437	4382
247	1442	4373
248	1448	4368
249	1454	4363
250	1460	4358
251	1466	4352
252	1472	4347
253	1477	4340
254	1483	4334
255	1488	4327
256	1494	4320
257	1500	4316
258	1506	4309
259	1511	4303
260	1517	4297
261	1523	4292
262	1529	4286
263	1534	4278
264	1539	4270
265	1544	4263
266	1550	4255
267	1553	4244
268	1559	4236
269	1564	4230
270	1571	4226
271	1576	4220
272	1582	4214
273	1588	4208
274	1593	4201
275	1599	4195
276	1605	4189
277	1610	4182
278	1614	4173
279	1620	4167
280	1626	4161
281	1631	4153
282	1636	4146
283	1641	4138
284	1647	4133
285	1653	4128
286	1659	4122
287	1665	4117
288	1671	4111
289	1677	4107
290	1683	4101
291	1688	4095
292	1694	4088
293	1699	4082
294	1706	4077
295	1710	4068
296	1716	4062
297	1722	4057
298	1729	4054
299	1736	4051
300	1743	4047
301	1748	4040
302	1753	4034
303	1759	4028
304	1764	4021
305	1768	4010
306	1774	4005
307	1779	3998
308	1784	3991
309	1790	3984
310	1795	3976
311	1801	3973
312	1807	3967
313	1813	3962
314	1820	3958
315	1824	3949
316	1829	3942
317	1835	3935
318	1840	3929
319	1845	3920
320	1850	3915
321	1855	3907
322	1862	3903
323	1867	3896
324	1873	3890
325	1878	3882
326	1883	3875
327	1888	3869
328	1894	3863
329	1899	3856
330	1904	3849
331	1909	3842
332	1914	3834
333	1920	3828
334	1925	3822
335	1935	3825
336	1941	3818
337	1946	3812
338	1952	3806
339	1956	3797
340	1962	3791
341	1967	3785
342	1973	3780
343	1978	3772
344	1983	3765
345	1989	3759
346	1994	3753
347	1999	3746
348	2005	3740
349	2010	3734
350	2015	3727
351	2021	3720
352	2027	3715
353	2031	3707
354	2036	3699
355	2041	3693
356	2047	3687
357	2051	3679
358	2057	3673
359	2062	3666
360	2067	3660
361	2074	3655
362	2079	3650
363	2084	3641
364	2089	3635
365	2094	3629
366	2100	3623
367	2105	3616
368	2111	3610
369	2117	3604
370	2122	3598
371	2128	3593
372	2134	3587
373	2139	3580
374	2144	3573
375	2149	3567
376	2154	3559
377	2159	3553
378	2165	3548
379	2170	3541
380	2175	3534
381	2182	3530
382	2187	3524
383	2194	3520
384	2199	3513
385	2203	3505
386	2209	3499
387	2216	3495
388	2222	3490
389	2228	3485
390	2235	3482
391	2241	3476
392	2246	3469
393	2251	3463
394	2256	3456
395	2262	3450
396	2267	3443
397	2272	3437
398	2278	3432
399	2284	3426
400	2290	3420
401	2295	3414
